S.NO.,Room Name,Location / Building,Floor,Room Type,Cabin Type,Seating Capacity,"Amenities Available (Projector, Whiteboard, TV,",VC Enabled,Power Points
1,Cassiopeia,Coimbatore,2,,Cabin,2,No,No,Yes
2,Sagittarius,Coimbatore,2,,Cabin,2,No,No,Yes
3,Pegasus,Coimbatore,2,,Cabin,2,No,No,Yes
4,Kilimanjaro,Coimbatore,2,Meeting room,,6,White board,No,Yes
5,Virgo,Coimbatore,2,Meeting room,,3,No,No,Yes
6,Aquarius,Coimbatore,2,,Cabin,2,White board,No,Yes
7,Aries,Coimbatore,2,IT room,,4,White board,No,Yes
8,Meeting room,Coimbatore,1,Meeting room,,6,No,No,Yes
9,Cabin,Coimbatore,1,,Cabin,2,No,No,Yes
10,Training room,Coimbatore,1,Training room,,16,Projector,No,Yes
11,Gemini,Coimbatore,4,,Cabin,2,No,No,Yes
12,Elbrus,Coimbatore,4,Board room,,6,Projector,No,Yes
13,Leo,Coimbatore,4,,Cabin,2,No,No,Yes
14,Scorpius,Coimbatore,4,,Cabin,2,No,No,Yes
15,Cygnus,Coimbatore,4,,Cabin,2,No,No,Yes
16,Ursa major,Coimbatore,4,Meeting room,,6,No,No,Yes
17,Orion,Coimbatore,4,,Cabin,2,No,No,Yes
18,PHONE BOOTH-1,Chennai,7,PHONE BOOTH-1,,1,No,No,Yes
19,PHONE BOOTH-2,Chennai,7,PHONE BOOTH-2,,1,No,No,Yes
20,ANNAPURANA,Chennai,7,Conference room,,14,TV,No,Yes
21,LORD'S,Chennai,7,,Cabin,3,No,No,Yes
22,THE OVAL,Chennai,7,,Cabin,3,TV,No,Yes
23,GABBA,Chennai,7,,Cabin,3,White board,No,Yes
24,EDEN GARDENS,Chennai,7,Discussion room,,3,White board,No,Yes
25,HEADINGLEY,Chennai,7,,Cabin,3,White board,No,Yes
26,CHEPAUK,Chennai,7,,Cabin,3,White board,No,Yes
27,WANKHEDE,Chennai,7,,Cabin,3,White board,No,Yes
28,OLD TRAFFORD,Chennai,7,,Cabin,,White board,No,Yes
